# rootname800                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,ABG,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,
4945390_u                                         ,95.00000000,117.00000000,5.80655059,0.77781746,0.00148964,0.01079096,56.50194862,44.50146447,52.97989267,43.41757142,51.22307630,43.10605619,54.17348819,44.62828420,9.26110564,3.50291928,27.54392315,0.02237559,15.93882485,0.51492307,810.43431035,52.61601345,43.39443096,0.03064908,16.21293595,0.28959317,0.33397536,28.63186938,27.26327515,6.53360812,9.62633900,12.25447383,15.12851630,17.19645376,21.06575899,26.40783725,36.98032924,45.90220384,29.94587094,0.58450962,0.42639464,0.27146742,0.39047087,0.05972119,0.32840850,0.43602986,12.30575247,0.04244478,0.46667902,0.59435940,-0.01110067,1.57912425,0.95939624,0.79964796,0.53950091,3.35379559,64.00000000,
4945462_u                                         ,81.00000000,75.00000000,5.80655059,0.77781746,0.00060099,0.01011528,35.51145169,38.51381770,35.45595406,39.05133950,37.84368863,40.35896444,34.76802206,41.66891860,1.67402697,1.33253628,32.40556118,0.01004063,6.00000000,1.89048129,46.51755584,34.99999905,38.99999919,0.00036914,50.62444609,3.98570113,0.60686837,46.93602734,3.22617865,2.11065813,3.21666360,4.21764013,5.25181760,6.36999733,7.42537085,8.60724645,12.12755279,16.03661891,18.18832469,0.57636753,0.40097356,0.53810006,0.54859373,0.00532117,0.95784759,0.70488864,2.97102241,0.00775084,0.72959885,0.53964066,0.42863384,1.58352930,0.87671979,0.86423409,0.24845409,1.06542974,32.00000000,
4946763_u                                         ,111.00000000,89.00000000,5.80655059,0.77781746,-0.00234098,0.01247458,42.51472963,53.50100247,43.41161863,53.59951575,45.03955433,54.93950364,41.75515867,48.82944894,3.61276202,3.43245759,73.37161606,0.02647277,7.20738218,1.33248134,8.14731257,43.22293639,53.17398048,0.02608524,8.20512780,0.43127322,0.82153069,74.02695936,13.01807976,3.71223452,4.97973898,6.01972402,7.06605522,8.30347830,9.69929306,11.32973986,13.65585592,16.50200133,17.23421067,0.43811235,0.29827656,0.36861706,0.57073789,0.00000000,0.94383737,0.65000654,5.23541861,-0.03363060,0.75235947,0.59480280,0.76712282,1.54501078,0.81882676,0.84943965,-0.22622575,0.66823295,0.00000000,
4947648_u                                         ,73.00000000,75.00000000,5.80655059,0.77781746,-0.00095229,0.01077551,63.52196814,22.54907030,64.17099096,23.46571404,64.79699169,23.98284350,64.99411298,25.58763464,2.60663089,2.46737833,123.37134119,0.00271465,3.00000000,49.99247451,403.83532579,63.60072787,22.55777067,0.08062158,1.51999840,21.00000000,0.99769766,143.61591878,2.93526173,1.53440750,2.04443667,2.53652290,3.02572049,3.52618606,4.05578966,4.64507477,5.36936955,6.44170141,6.62168478,0.41934963,0.26169537,0.09871835,0.57334034,0.04040523,0.69588511,0.34063235,16.96169835,0.01870622,0.68149662,0.67897560,0.34495967,1.56295328,0.67647793,0.72209954,0.03369631,0.79736126,72.00000000,
4948584_u                                         ,49.00000000,71.00000000,5.80655059,0.77781746,0.00121562,0.01068379,34.51417153,22.50148920,34.85810051,22.54501188,34.85810051,22.54501188,34.98506748,22.76968956,2.81507076,1.92432173,3.56575365,0.00251365,7.99999559,21.27704971,150.61329633,34.67064804,22.37638881,0.00003508,86.26159602,21.00000000,0.57135533,19.70725909,2.45537519,1.78698634,2.95834696,4.35903838,6.05152411,7.91970103,11.93608186,15.00505051,16.50981532,18.38018012,10.62180062,0.74669311,0.36564098,0.26352367,0.65418072,0.00000000,0.96779610,0.67369620,3.26377662,0.00032667,0.91669313,0.51078941,0.29767201,1.62387367,0.91922969,0.88175107,-0.08646952,0.70425417,32.00000000,
4948792_u                                         ,209.00000000,135.00000000,5.80655059,0.77781746,0.00001581,0.01054622,69.50380676,109.49954178,71.07860669,111.34830469,71.84376175,113.55038352,72.34304970,105.98898386,1.87250632,1.26093771,140.54494645,0.00915762,24.99999998,0.50450999,53.28185277,70.43919826,107.14540877,0.00255568,27.83250907,0.84944581,0.99999353,140.84527724,18.85918808,9.04010529,15.57271288,21.04320153,27.03338343,33.31633234,36.69199073,39.10231850,41.64943994,48.52676118,56.34057160,0.42724489,0.16332412,1.25551426,-0.25551426,0.05074868,0.89877435,0.89545623,4.31050505,0.10446483,0.86144283,0.55204892,0.83946844,1.68042108,0.84382914,0.84290435,0.58381168,3.53297961,0.00000000,
4948843_u                                         ,101.00000000,93.00000000,5.80655059,0.77781746,0.00171191,0.01079598,44.51511809,48.51098104,45.11353332,48.86113964,45.29783843,49.35414152,47.71478973,49.18542836,4.96978866,3.45947924,133.11073042,0.00673496,18.99999968,17.08366210,11.58773585,44.52399706,48.52210625,0.00708498,11.01362994,20.99987579,0.73108178,132.03550429,30.78486633,2.46327194,3.95880391,5.72260129,8.09078997,10.71036008,14.35821387,19.66641177,26.86123006,34.79892027,22.26179841,0.83156191,0.51176170,0.35682234,0.26184615,0.01006760,0.26472640,0.57575958,3.11445571,0.02560185,0.33827192,0.64876188,0.00843522,1.56192543,0.64872214,0.63787202,0.36267208,0.62574471,0.00000000,
4949668_u                                         ,63.00000000,61.00000000,5.80655059,0.77781746,0.00242185,0.01076724,28.49967647,29.51464330,28.45501418,29.66552835,28.94381616,30.57371004,26.95735239,30.34766021,2.94407867,2.61455381,45.77028548,0.00405131,15.99999959,1.70183742,46.90687454,28.32877680,29.49542697,0.00016591,87.69173435,12.23651491,0.79544417,45.62208266,15.63552570,2.27465084,3.94576990,6.00665744,9.32293827,12.77157354,17.06549952,22.48874333,27.87378727,31.81552330,26.82889189,0.84906423,0.39639466,0.81720972,0.02592491,0.01089174,0.50050751,0.65186176,0.58651825,0.03078788,0.82636735,0.58490573,0.15033207,1.56801884,0.78732766,0.76134614,0.11107599,2.24940271,32.00000000,
4949833_u                                         ,117.00000000,107.00000000,5.80655059,0.77781746,0.00082220,0.01070184,52.50646428,56.50725251,52.91120203,57.00727695,52.81895587,56.89699071,53.29868041,57.81761446,4.63920444,2.65398728,52.48053598,0.00819187,15.50508861,1.17929560,22.53845724,52.73538680,56.93506946,0.00904133,18.38272320,1.18791137,0.36154428,51.98606470,14.16241360,5.10678306,7.67118556,9.95405494,12.81414937,15.76603662,18.07545619,24.69864988,31.83763178,38.64612631,23.29232785,0.61807827,0.38938344,0.20012052,0.48220742,0.00288189,0.63418962,0.49916046,2.76186094,0.00419912,0.80533367,0.53317891,0.28238568,1.59780914,0.83301686,0.83848640,0.35091584,1.21564950,0.00000000,
4951117_u                                         ,157.00000000,129.00000000,5.80655059,0.77781746,0.00001317,0.01057557,62.50122527,76.50796894,62.46735215,77.32708127,62.66834183,77.81342919,62.98106201,77.71348409,4.46888562,3.30196727,112.07493242,0.00783274,17.92983074,1.15968138,17.24246339,61.98743214,76.86781293,0.00802264,20.31561650,1.37257409,0.52701002,115.41652733,23.22057915,4.62547404,7.73906312,10.72199006,13.40643545,16.99187461,20.49606034,24.48876903,32.23277524,43.38125857,28.03081744,0.61960931,0.40706085,0.30874875,0.43145008,0.01021298,0.84096146,0.51313568,2.92468252,0.01494428,0.62979026,0.55355488,0.36264875,1.64768161,0.76159082,0.81905579,1.07561985,2.19368142,0.00000000,
4951253_u                                         ,121.00000000,61.00000000,5.80655059,0.77781746,0.00052847,0.01066894,29.50535395,58.50862702,29.85309418,59.54877737,30.19949594,58.95570658,29.86088207,61.20651255,4.70275017,2.18366340,85.91492424,0.01205569,11.29578327,1.57449042,10.87657257,29.44838518,58.55388626,0.01907644,13.34447543,1.32039259,0.19403717,85.36288361,8.65119457,3.66086367,5.52816337,7.33397284,9.11851606,11.25356349,13.75960179,16.89132238,19.60515374,24.98468016,22.96685554,0.54978938,0.34638373,0.17154910,0.39422311,0.00000000,0.52665764,0.39162630,4.77531112,0.01214815,0.88202441,0.54956455,0.45163520,1.52953713,0.85604998,0.85946093,-0.35473361,0.97627025,0.00000000,
4951774_u                                         ,89.00000000,73.00000000,5.80655059,0.77781746,0.00047874,0.01075927,32.51488087,46.50544284,35.12836759,43.92328585,38.33033627,42.40959641,42.30857119,43.50781189,6.34091764,2.27297332,132.33451668,0.00324584,27.99998726,1.86049449,26.15748332,40.88172365,44.44420596,0.01147903,4.23890278,0.16364705,0.74740611,147.80341305,11.54582691,6.89588740,10.58470394,14.13273919,18.55268741,22.50984631,28.52063422,35.34171279,43.11323433,53.09587788,36.55178984,0.60993189,0.37268828,1.03251100,0.04803142,0.08638652,0.65772517,0.62360081,10.05133185,0.05886906,0.83333419,0.55521054,0.69081122,1.59239104,0.82174461,0.87335170,-0.37756670,2.67069483,64.00000000,
4951856_u                                         ,69.00000000,71.00000000,5.80655059,0.77781746,-0.00059483,0.01041000,26.51579910,38.52168354,30.26120517,38.11845965,31.19578584,35.76257877,31.62089198,38.28373950,5.14284076,2.26507124,155.70810924,0.00696680,3.00000000,49.98677498,531.01642218,26.15677289,37.28875501,0.00011541,22.25591285,20.99999986,0.99999671,105.78713132,0.83975816,1.48756351,3.76531854,5.91835823,6.86464372,7.52206259,8.08519894,8.62466447,9.18400425,9.82891039,12.13539730,0.38723035,0.11616843,0.50194108,0.72799970,0.00000000,0.84959188,0.72147695,31.04182444,0.04197185,0.80859888,0.57580315,0.34852980,1.54341234,0.89509278,0.89418768,-0.17541138,0.76714505,64.00000000,
497283_u                                          ,91.00000000,77.00000000,5.80655059,0.77781746,0.00104927,0.00944615,36.51989564,42.52784063,37.11653155,43.48702821,37.50965210,43.78225083,37.86903112,44.29875653,4.53041698,3.51927714,90.68771030,0.09534690,6.82457443,1.18184265,10.45843744,36.70177963,43.07992548,0.26346233,4.64002800,2.27188415,0.53683511,86.26300474,51.95592880,1.50870930,2.33565811,3.30366228,4.39067679,5.50363302,6.69308696,8.50923600,11.02145910,15.32540461,12.24443831,0.67382982,0.44476248,0.04997515,0.11612341,0.05935651,0.27413540,0.08552465,9.22548186,0.03201181,0.25980539,0.70750542,-0.54869960,1.58628135,0.35532038,0.63445072,0.40553084,0.23397651,0.00000000,
497633_u                                          ,91.00000000,103.00000000,5.80655059,0.77781746,-0.00005052,0.00941765,50.51735943,42.51151926,51.52522871,43.11681761,51.65949519,43.12102825,53.27535960,43.37309905,4.89151123,4.30954952,171.38250466,0.03135494,7.64170462,0.91413100,14.78786196,50.99089567,42.76538466,0.03279253,7.62513707,0.69532706,0.84548623,167.48811464,17.45565033,2.95484145,4.41144553,5.71598768,6.99415806,8.30098209,9.67835965,11.50420268,14.42145844,18.27894238,17.13678841,0.51442826,0.34282159,0.27463594,0.30752953,0.01808392,0.26499767,0.44161763,6.86047051,0.00819986,0.75509175,0.63944340,0.21962172,1.54827080,0.65158303,0.82383505,-0.56597756,0.94592404,0.00000000,
497750_u                                          ,199.00000000,185.00000000,5.80655059,0.77781746,-0.00012700,0.00933386,89.50279424,97.50056556,89.70311793,97.93735433,90.68966286,99.05585192,94.14666723,98.71909110,5.61113132,3.11398910,53.86190271,0.00093559,28.99999967,1.68662916,445.47864596,89.33743815,97.59302241,0.00376030,48.74748447,2.53635719,0.22908376,50.15362513,32.40212631,6.26898515,10.98631321,16.17984625,21.93864248,28.81550935,37.27656336,44.42806310,47.90429850,50.75067129,52.85898991,0.63952251,0.24581549,0.24375452,0.59576744,0.02329087,0.59699565,0.59556961,0.90908875,0.06474244,0.82572437,0.56092607,0.68681880,1.62478145,0.69416104,0.81654595,0.60021639,1.65067811,0.00000000,
