#FIELD,ID,X,Y,P_merg
STRIPE82-0159,SPLUS.STRIPE82-0159.05043.griz,8738.984,3795.362,0.9918205738067627
STRIPE82-0163,SPLUS.STRIPE82-0163.10221.griz,5542.109,3977.772,0.9996707439422607
STRIPE82-0163,SPLUS.STRIPE82-0163.10479.griz,4366.6759999999995,4043.1290000000004,0.998854398727417
STRIPE82-0015,SPLUS.STRIPE82-0015.09867.griz,9919.442,4089.389,0.951890230178833
STRIPE82-0015,SPLUS.STRIPE82-0015.08699.griz,6312.085,3764.7270000000003,0.9998719692230225
STRIPE82-0017,SPLUS.STRIPE82-0017.08299.griz,6100.964,3383.58,0.991634726524353
STRIPE82-0017,SPLUS.STRIPE82-0017.11758.griz,4772.484,4500.516,0.9996702671051025
STRIPE82-0017,SPLUS.STRIPE82-0017.11120.griz,4470.3679999999995,4290.034000000001,0.9887670874595642
STRIPE82-0021,SPLUS.STRIPE82-0021.11369.griz,4129.326,4009.6209999999996,0.9930956959724426
STRIPE82-0119,SPLUS.STRIPE82-0119.37403.griz,7076.321999999999,6102.026,0.9990766048431396
STRIPE82-0121,SPLUS.STRIPE82-0121.34083.griz,6759.659000000001,7136.803000000001,0.9935048818588257
STRIPE82-0123,SPLUS.STRIPE82-0123.25888.griz,10460.016,6662.541,0.9978965520858765
STRIPE82-0143,SPLUS.STRIPE82-0143.25080.griz,4343.205,6596.616999999999,0.9748534560203552
STRIPE82-0143,SPLUS.STRIPE82-0143.24632.griz,1504.295,6478.304,0.990454375743866
STRIPE82-0149,SPLUS.STRIPE82-0149.30052.griz,7409.4619999999995,6493.726,0.9911978840827942
STRIPE82-0149,SPLUS.STRIPE82-0149.28118.griz,7398.975,7028.661999999999,0.9996416568756104
STRIPE82-0149,SPLUS.STRIPE82-0149.21240.griz,3435.452,6357.3640000000005,0.9642208814620972
STRIPE82-0165,SPLUS.STRIPE82-0165.28982.griz,3882.59,6769.376,0.9967526197433472
STRIPE82-0169,SPLUS.STRIPE82-0169.11825.griz,2400.862,6543.541,0.9907538890838623
STRIPE82-0003,SPLUS.STRIPE82-0003.23498.griz,6379.797,6654.121,0.9695050120353699
STRIPE82-0007,SPLUS.STRIPE82-0007.27954.griz,9531.662,6564.495,0.9900838136672974
STRIPE82-0007,SPLUS.STRIPE82-0007.25741.griz,8139.8640000000005,7124.871999999999,0.9632622599601746
STRIPE82-0007,SPLUS.STRIPE82-0007.26801.griz,6143.15,6795.186,0.9854814410209656
STRIPE82-0007,SPLUS.STRIPE82-0007.28072.griz,3110.87,6350.844,0.9991316199302673
STRIPE82-0007,SPLUS.STRIPE82-0007.28280.griz,3105.6279999999997,6354.355,0.9852478504180908
STRIPE82-0009,SPLUS.STRIPE82-0009.30261.griz,7322.715,6427.845,0.9622672200202942
STRIPE82-0009,SPLUS.STRIPE82-0009.34136.griz,3945.014,6745.6990000000005,0.9994452595710754
STRIPE82-0009,SPLUS.STRIPE82-0009.32314.griz,3941.393,6788.929,0.9938409328460693
STRIPE82-0013,SPLUS.STRIPE82-0013.29847.griz,8526.142,6154.504,0.9921431541442871
STRIPE82-0019,SPLUS.STRIPE82-0019.24706.griz,3718.8320000000003,6970.5380000000005,0.990581750869751
STRIPE82-0119,SPLUS.STRIPE82-0119.48800.griz,3163.052,9412.219000000001,0.9888687133789062
