#FIELD,ID,P_merg,dr7objid_1,galcount,TType,objID,RA,Dec,X,Y,PhotoFlag,simple_class
STRIPE82-0014,SPLUS.STRIPE82-0014.06772.griz,0.9990870952606201,587731186744295579,143514,-2.426015853881836,587731186744295579,8.0102,0.2969,8732.546,2862.215,3,Er
STRIPE82-0014,SPLUS.STRIPE82-0014.21800.griz,0.9860168099403381,587731187818037375,145114,-0.9446672201156616,587731187818037375,8.0408,1.1435,8531.649,8403.768,2,Ei
STRIPE82-0014,SPLUS.STRIPE82-0014.22249.griz,0.9882537126541138,587731187818102947,145119,-0.8430119752883911,587731187818102947,8.1984,1.1311,7500.339,8322.087,3,Ei
STRIPE82-0014,SPLUS.STRIPE82-0014.23926.griz,0.99797123670578,587731187818365116,145129,1.3455644845962524,587731187818365116,8.8111,1.0661,3490.265,7897.217,3,Ei
STRIPE82-0014,SPLUS.STRIPE82-0014.03799.griz,0.9996088147163391,588015509272854623,561781,-1.227748990058899,588015509272854623,7.8995,0.1672,9457.097,2012.965,2,Er
STRIPE82-0014,SPLUS.STRIPE82-0014.12652.griz,0.973453938961029,588015509809987732,562880,3.2253599166870117,588015509809987732,8.5356,0.5611,5293.179,4591.346,2,Er
STRIPE82-0015,SPLUS.STRIPE82-0015.09867.griz,0.951890230178833,587731185134207091,140905,4.761421203613281,587731185134207091,9.2461,-0.9155,9919.442,4089.389,3,SB
STRIPE82-0015,SPLUS.STRIPE82-0015.08699.griz,0.9998719692230225,587731185134469239,140915,-2.182246208190918,587731185134469239,9.7973,-0.9652,6312.085,3764.7270000000003,3,Er
STRIPE82-0015,SPLUS.STRIPE82-0015.29872.griz,0.9998714923858643,588015509273837696,561834,2.8857476711273193,588015509273837696,10.2052,0.0313,3641.592,10287.574,2,S
STRIPE82-0016,SPLUS.STRIPE82-0016.29594.griz,0.9978106617927551,587731187282280500,144336,-1.0602878332138062,587731187282280500,10.525,0.7769,1548.6729999999998,6003.812,3,Ei
STRIPE82-0016,SPLUS.STRIPE82-0016.03568.griz,0.999690055847168,588015509273706530,561827,1.4768333435058594,588015509273706530,9.9509,0.1374,5306.549,1818.104,3,Ei
STRIPE82-0016,SPLUS.STRIPE82-0016.00489.griz,0.9818152785301208,588015509273903215,561835,2.667083740234375,588015509273903215,10.3101,0.0038,2955.1679999999997,943.1080000000001,2,Ei
STRIPE82-0017,SPLUS.STRIPE82-0017.08299.griz,0.991634726524353,587731185135124558,140945,3.4621496200561523,587731185135124558,11.2468,-1.0234,6100.964,3383.58,2,SB
STRIPE82-0017,SPLUS.STRIPE82-0017.11758.griz,0.9996702671051025,587731185135190197,140953,-1.5749298334121704,587731185135190197,11.4498,-0.8528,4772.484,4500.516,3,Ei
STRIPE82-0017,SPLUS.STRIPE82-0017.11120.griz,0.9887670874595642,587731185135190244,140955,-2.3944931030273438,587731185135190244,11.495999999999999,-0.8849,4470.3679999999995,4290.034000000001,2,Er
STRIPE82-0017,SPLUS.STRIPE82-0017.16354.griz,0.9931614398956299,587731186209194055,142660,-2.106137275695801,587731186209194055,12.0081,-0.2085,1118.124,8717.499,2,Er
STRIPE82-0017,SPLUS.STRIPE82-0017.04231.griz,0.9824652671813965,588015507663487073,558500,-1.5361295938491821,588015507663487073,10.8725,-1.2173,8550.558,2114.1,3,Er
STRIPE82-0018,SPLUS.STRIPE82-0018.03941.griz,0.9589344263076782,588015509274361965,561856,-2.1913132667541504,588015509274361965,11.3424,0.1197,5475.272,1701.93,2,Ei
